city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Atka,Atka,AK,Alaska,2016,Aleutians West,52.2301,-174.2133,26,1.2,shape,FALSE,TRUE,America/Adak,3,99547,1840023262
Karluk,Karluk,AK,Alaska,2150,Kodiak Island,57.5845,-154.3255,26,0,shape,FALSE,FALSE,America/Anchorage,3,99608,1840023299
Platinum,Platinum,AK,Alaska,2050,Bethel,58.978,-161.7185,25,0,shape,FALSE,TRUE,America/Anchorage,3,99651,1840000307
Chase,Chase,AK,Alaska,2170,Matanuska-Susitna,62.4624,-149.9371,25,0,shape,FALSE,FALSE,America/Anchorage,3,99676,1840023369
Diomede,Diomede,AK,Alaska,2180,Nome,65.7536,-168.9219,25,4,shape,FALSE,TRUE,America/Nome,3,99762,1840023505
Tatitlek,Tatitlek,AK,Alaska,2063,Chugach,60.8921,-146.6727,23,1.2,shape,FALSE,FALSE,America/Anchorage,3,99677,1840023400
Wiseman,Wiseman,AK,Alaska,2290,Yukon-Koyukuk,67.437,-150.1334,22,0,shape,FALSE,FALSE,America/Anchorage,3,99701,1840023442
Alatna,Alatna,AK,Alaska,2290,Yukon-Koyukuk,66.5638,-152.8385,22,0.2,shape,FALSE,FALSE,America/Anchorage,3,99720,1840023430
Sunrise,Sunrise,AK,Alaska,2122,Kenai Peninsula,60.8701,-149.4678,20,0.5,shape,FALSE,FALSE,America/Anchorage,3,99605,1840023608
Paxson,Paxson,AK,Alaska,2066,Copper River,63.011,-145.7312,20,0,shape,FALSE,FALSE,America/Anchorage,3,99737,1840023398
Manley Hot Springs,Manley Hot Springs,AK,Alaska,2290,Yukon-Koyukuk,65.0187,-150.6453,20,1.2,shape,FALSE,FALSE,America/Anchorage,3,99756,1840023428
Clark's Point,Clark's Point,AK,Alaska,2070,Dillingham,58.8329,-158.5276,19,2.2,shape,FALSE,TRUE,America/Anchorage,3,99569,1840023537
Covenant Life,Covenant Life,AK,Alaska,2100,Haines,59.3998,-136.0946,19,0.9,shape,FALSE,FALSE,America/Juneau,3,99827,1840023668
Port Protection,Port Protection,AK,Alaska,2198,Prince of Wales-Hyder,56.3293,-133.594,18,1.9,shape,FALSE,FALSE,America/Sitka,3,99927,1840023686
Levelock,Levelock,AK,Alaska,2164,Lake and Peninsula,59.0683,-156.9009,18,0.4,shape,FALSE,FALSE,America/Anchorage,3,99625,1840023287
Crooked Creek,Crooked Creek,AK,Alaska,2050,Bethel,61.8439,-158.1082,18,0,shape,FALSE,FALSE,America/Anchorage,3,99575,1840023341
Port Clarence,Port Clarence,AK,Alaska,2180,Nome,65.1108,-166.7683,17,0.3,shape,FALSE,FALSE,America/Nome,3,99762,1840023578
Whitestone,Whitestone,AK,Alaska,2240,Southeast Fairbanks,64.1527,-145.9061,16,6.1,shape,FALSE,TRUE,America/Anchorage,5,99737,1840075218
Hyder,Hyder,AK,Alaska,2198,Prince of Wales-Hyder,55.9816,-130.0383,16,0.4,shape,FALSE,FALSE,America/Sitka,3,99923,1840023524
Stony River,Stony River,AK,Alaska,2050,Bethel,61.7937,-156.5861,16,2,shape,FALSE,FALSE,America/Anchorage,3,99557,1840023347
Attu Station,Attu Station,AK,Alaska,2016,Aleutians West,52.8955,173.123,15,0,shape,FALSE,TRUE,America/Adak,5,,1840037663
Evansville,Evansville,AK,Alaska,2290,Yukon-Koyukuk,66.9206,-151.4201,15,0,shape,FALSE,FALSE,America/Anchorage,3,99726,1840023546
Lake Minchumina,Lake Minchumina,AK,Alaska,2290,Yukon-Koyukuk,63.7981,-152.3446,14,0,shape,FALSE,FALSE,America/Anchorage,3,99757,1840023426
Pedro Bay,Pedro Bay,AK,Alaska,2164,Lake and Peninsula,59.7862,-154.1321,14,0,shape,FALSE,FALSE,America/Anchorage,3,99647,1840023289
Fox,Fox,AK,Alaska,2090,Fairbanks North Star,64.9749,-147.609,13,11.1,shape,FALSE,FALSE,America/Anchorage,3,99712,1840023461
Edna Bay,Edna Bay,AK,Alaska,2198,Prince of Wales-Hyder,55.964,-133.6662,13,0.1,shape,FALSE,TRUE,America/Sitka,3,99921,1840000514
Lutak,Lutak,AK,Alaska,2100,Haines,59.3997,-135.6314,13,0.1,shape,FALSE,FALSE,America/Juneau,3,99827,1840023680
Elfin Cove,Elfin Cove,AK,Alaska,2105,Hoonah-Angoon,58.1286,-136.1951,13,0,shape,FALSE,FALSE,America/Juneau,3,99825,1840023309
Livengood,Livengood,AK,Alaska,2290,Yukon-Koyukuk,65.4817,-148.4171,11,0,shape,FALSE,FALSE,America/Anchorage,3,99790,1840023427
